pc1,pc2,label
-0.1111,-0.0052,IGNORE
-0.1325,0.0033,IGNORE
0.0379,0.1817,IGNORE
0.0854,0.0355,IGNORE
-0.1733,-0.046,IGNORE
0.1932,0.0578,IGNORE
-0.06,0.2024,IGNORE
0.4338,0.0714,IGNORE
-0.0879,0.2112,IGNORE
-0.0703,0.0163,IGNORE
0.187,0.1777,IGNORE
0.0642,0.0906,IGNORE
0.2479,0.2202,IGNORE
-0.3578,0.0534,IGNORE
-0.2273,0.1561,IGNORE
-0.1739,0.0397,IGNORE
0.0019,0.0244,IGNORE
-0.0058,-0.1508,IGNORE
-0.1662,0.0523,IGNORE
0.3103,-0.5013,IGNORE
-0.062,0.104,IGNORE
-0.1143,0.149,IGNORE
-0.0631,0.1482,IGNORE
-0.2465,-0.0183,IGNORE
0.3322,-0.1825,IGNORE
-0.0925,-0.389,IGNORE
-0.1758,0.0697,IGNORE
-0.1581,-0.1121,IGNORE
0.3635,0.1325,IGNORE
-0.056,0.0456,IGNORE
0.16,0.2277,IGNORE
-0.216,0.0402,IGNORE
-0.0837,0.0213,IGNORE
-0.1632,0.0893,IGNORE
0.1075,-0.0315,IGNORE
-0.1378,-0.0879,IGNORE
0.257,0.1255,IGNORE
0.1341,-0.0615,IGNORE
0.0826,-0.1216,IGNORE
0.168,-0.1019,IGNORE
-0.1245,-0.0222,IGNORE
0.3636,0.0406,IGNORE
-0.1732,0.2093,IGNORE
0.1237,0.0621,IGNORE
0.1746,-0.0414,IGNORE
0.3939,-0.5211,IGNORE
-0.2539,0.0145,IGNORE
0.257,-0.4802,IGNORE
-0.11,0.1568,IGNORE
0.4522,-0.0034,IGNORE
0.0985,-0.0593,IGNORE
0.059,-0.2867,IGNORE
0.0363,0.0282,IGNORE
-0.2986,0.0701,IGNORE
0.1709,0.1013,IGNORE
-0.1777,0.0128,IGNORE
0.0667,-0.3456,IGNORE
-0.0138,-0.0088,IGNORE
-0.3072,0.1146,IGNORE
0.0332,0.2475,IGNORE
0.023,-0.1106,IGNORE
0.0385,0.1989,IGNORE
-0.0715,-0.1459,IGNORE
0.1966,-0.1019,IGNORE
-0.0646,0.1472,IGNORE
-0.0776,0.2037,IGNORE
-0.2597,0.0628,IGNORE
0.1149,-0.0204,IGNORE
-0.0017,0.0939,IGNORE
